x-axis,1,2
second,Volt,Volt
+321.0000E-06,,
+321.4300E-06,+902.8930269E-03,+978.9752210E-03
+321.8600E-06,+897.6884326E-03,+996.9220981E-03
+322.2900E-06,+909.1385402E-03,+957.4389686E-03
+322.7200E-06,+909.3467239E-03,+996.9220981E-03
+323.1500E-06,+902.4766594E-03,+996.9220981E-03
+323.5800E-06,+909.3467239E-03,+996.9220981E-03
+324.0100E-06,+909.3467239E-03,+963.1819692E-03
+324.4400E-06,+902.8930269E-03,+996.9220981E-03
+324.8700E-06,+906.2239673E-03,+986.1539719E-03
+325.3000E-06,+897.8966164E-03,+957.4389686E-03
+325.7300E-06,+901.2275568E-03,+996.9220981E-03
+326.1600E-06,+902.4766594E-03,+996.9220981E-03
+326.5900E-06,+897.6884326E-03,+961.7462191E-03
+327.0200E-06,+909.3467239E-03,+996.9220981E-03
+327.4500E-06,+897.6884326E-03,+1.0191762256E+00
+327.8800E-06,+909.3467239E-03,+996.9220981E-03
+328.3100E-06,+909.3467239E-03,+996.9220981E-03
+328.7400E-06,+905.8075998E-03,+996.9220981E-03
+329.1700E-06,+904.5584971E-03,+996.9220981E-03
+329.6000E-06,+909.3467239E-03,+996.9220981E-03
+330.0300E-06,+899.5620866E-03,+1.0033829738E+00
+330.4600E-06,+904.1421296E-03,+996.9220981E-03
+330.8900E-06,+897.6884326E-03,+996.9220981E-03
+331.3200E-06,+897.8966164E-03,+996.9220981E-03
+331.7500E-06,+897.6884326E-03,+968.9249699E-03
+332.1800E-06,+897.6884326E-03,+996.9220981E-03
+332.6100E-06,+897.6884326E-03,+996.9220981E-03
+333.0400E-06,+909.3467239E-03,+956.7210935E-03
+333.4700E-06,+909.3467239E-03,+978.9752210E-03
+333.9000E-06,+897.6884326E-03,+996.9220981E-03
+334.3300E-06,+909.3467239E-03,+996.9220981E-03
+334.7600E-06,+905.8075998E-03,+996.9220981E-03
+335.1900E-06,+902.4766594E-03,+996.9220981E-03
+335.6200E-06,+899.1457190E-03,+996.9220981E-03
+336.0500E-06,+901.4357405E-03,+963.1819692E-03
+336.4800E-06,+904.1421296E-03,+996.9220981E-03
+336.9100E-06,+900.8111892E-03,+996.9220981E-03
+337.3400E-06,+897.8966164E-03,+996.9220981E-03
+337.7700E-06,+901.2275568E-03,+984.7182217E-03
+338.2000E-06,+902.4766594E-03,+996.9220981E-03
+338.6300E-06,+897.6884326E-03,+996.9220981E-03
+339.0600E-06,+897.6884326E-03,+996.9220981E-03
+339.4900E-06,+909.3467239E-03,+974.6679706E-03
